game_id,date,player,rank,substitute_player,winner,score,color,num_of_cities,num_of_settlement,num_of_roads,num_of_dev_cards,buy_dev_card_first,builds_city_first,builds_settlement_first,num_of_harbor,which_resources_first,cashier,time_in_min,is_extension,start_time,longest_road,largest_army,first_brick_harbor,first_ore_harbor,first_grain_harbor,first_wool_harbor,first_lumber_harbor,first_3to1_harbor,num_of_brick_harbor,num_of_grain_harbor,num_of_3to1_harbor,num_of_lumber_harbor,num_of_ore_harbor,num_of_wool_harbor,initial_dices,dessert_placement
8.0,2022-03-16,A,1.0,,E,9.0,White,3.0,3.0,8.0,3.0,1.0,1.0,1.0,2.0,"['Lumber', 'Ore', 'Wool']",1.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,
8.0,2022-03-16,B,3.0,,E,7.0,Blue,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,"['Ore', 'Lumber', 'Brick']",0.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
8.0,2022-03-16,E,2.0,,E,10.0,Red,3.0,2.0,10.0,1.0,0.0,0.0,0.0,3.0,"['Wool', 'Ore', 'Lumber']",0.0,50.0,0.0,22:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,
9.0,2022-03-17,B,1.0,,E,7.0,Blue,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
9.0,2022-03-17,A,2.0,,E,7.0,White,1.0,3.0,7.0,3.0,0.0,0.0,1.0,1.0,"['Lumber', 'Brick', 'Wool']",1.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
9.0,2022-03-17,F,3.0,,E,7.0,Orange,3.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,"['Grain', 'Lumber', 'Brick']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
9.0,2022-03-17,E,4.0,,E,10.0,Red,3.0,1.0,9.0,6.0,1.0,1.0,0.0,0.0,"['Grain', 'Brick', 'Lumber']",0.0,75.0,0.0,19:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10.0,2022-03-17,B,1.0,,A,3.0,Blue,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,"['Ore', 'Ore', 'Lumber']",0.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10.0,2022-03-17,A,2.0,,A,10.0,White,4.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,"['Lumber', 'Brick', 'Lumber']",1.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10.0,2022-03-17,E,3.0,,A,8.0,Red,1.0,4.0,8.0,6.0,0.0,0.0,0.0,3.0,"['Brick', 'Wool', 'Ore']",0.0,60.0,0.0,21:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,
